Latitud,Habitaciones,Baños,Superficie_m2,Ascensor,Aire_Acondicionado,Calefaccion,Parking,Balcon,Terraza,Piscina,Precio_Medio_cp,Precio
40.473495,2,1,95,1,0,0,0,0,0,0,347317,350000
40.49042,2,1,77,1,1,0,0,0,0,0,733699,385000
40.44775,3,2,124,1,1,1,0,1,1,0,280852,270000
40.46796,3,2,96,0,1,1,0,0,0,0,347317,220000
40.42104,1,1,57,1,1,1,0,1,0,0,760050,365000
40.425064,3,3,119,1,1,1,0,1,0,0,747577,959000
40.468014,2,2,156,0,1,1,0,0,1,0,733699,600000
40.47075,5,3,175,0,0,1,0,0,1,0,1274253,585000
40.51121,3,2,140,1,1,0,0,1,0,0,480497,460000
40.384113,2,1,64,1,0,1,0,1,0,0,192864,164000
40.478287,3,2,71,1,0,1,0,0,1,0,347317,279000
40.380974,3,1,72,1,0,1,0,0,0,0,192864,183900
40.430626,1,1,44,1,1,1,0,0,0,0,1207212,270000
40.46367,3,1,102,0,0,0,0,0,0,0,645360,123000
40.45782,3,1,74,0,1,0,0,0,0,0,1274253,265000
40.391525,2,1,51,1,0,1,0,0,0,0,219078,132900
40.436386,3,1,56,1,0,0,0,0,0,0,673599,375000
40.365772,1,1,69,1,0,1,0,0,0,0,192864,210000
40.468323,2,2,79,1,1,1,0,0,0,0,302278,390000
40.43083,3,4,221,1,1,0,0,0,0,0,1023319,2390000
40.463303,4,5,276,1,1,1,0,0,0,0,1197915,2200000
40.406292,2,1,52,1,1,1,0,0,0,0,529747,330000
40.407898,3,2,119,1,0,1,0,0,0,0,529747,525000
40.456455,2,2,70,1,1,1,0,0,0,0,302278,300000
40.422283,3,3,292,1,0,1,0,0,1,0,941621,1650000
40.503773,3,2,120,1,1,1,0,0,1,0,480497,480000
40.472927,4,3,147,1,1,1,0,0,0,0,1197915,875000
40.393707,1,2,70,1,1,1,0,1,1,0,152717,225000
40.463844,3,1,96,0,1,1,0,0,1,0,471372,350000
40.40602,1,1,42,0,1,1,0,0,0,0,440796,175000
40.417404,1,1,70,1,1,1,0,0,0,0,856046,580000
40.40039,3,1,80,0,1,1,0,0,1,0,164928,199000
40.3911,3,2,126,0,0,1,0,0,1,0,226302,260000
40.391357,3,2,126,0,0,1,0,0,1,0,226302,260000
40.399338,4,2,110,1,0,0,0,0,0,0,357857,415000
40.387955,3,2,75,0,0,1,0,0,1,0,197312,198000
40.430058,3,3,185,1,1,1,0,0,0,0,1207212,1100000
40.500507,2,1,76,1,1,1,0,0,0,1,718994,320000
40.38715,3,2,100,1,0,0,0,0,1,0,166500,178000
40.435745,4,2,143,0,1,1,0,0,0,0,1207212,900000
40.454586,2,2,126,1,0,0,0,1,1,0,923762,740000
40.45202,3,2,141,1,1,0,1,0,0,0,923762,980000
40.438446,2,2,90,1,1,1,1,0,0,0,603234,450000
40.395363,2,1,75,1,0,0,0,0,0,0,226302,208000
40.4322,2,2,83,1,1,1,0,0,0,0,1207212,849000
40.430782,2,3,92,1,1,1,0,0,0,0,1207212,750000
40.431602,4,2,132,1,1,1,0,0,0,0,603234,590000
40.386425,2,1,63,0,0,0,0,0,0,0,226302,143000
40.39458,3,1,65,0,0,0,0,0,1,0,199225,132000
40.35351,3,1,80,0,1,1,0,0,1,0,156772,148250
40.4171,5,2,138,1,0,1,0,0,0,0,941621,650000
40.417698,2,2,120,1,1,1,0,0,0,0,941621,1090000
40.37444,3,2,94,1,0,1,0,0,1,0,192864,204900
40.379723,2,2,90,1,0,0,0,0,1,0,197312,209990
40.3825,4,2,106,1,1,1,0,0,0,0,197312,300000
40.39597,2,1,60,0,0,0,0,0,1,0,226302,137000
40.372135,2,2,94,1,0,1,0,0,0,0,234693,169000
40.434525,4,1,100,1,0,1,0,0,0,0,379788,345000
40.415047,3,2,146,1,1,1,0,0,0,0,941621,990000
40.355587,2,1,59,1,1,1,0,0,0,0,212177,116000
40.43257,3,3,164,1,1,1,0,1,0,0,1207212,1800000
40.401417,3,1,71,1,1,1,0,0,0,0,357857,345000
40.434723,3,4,125,1,1,1,0,0,1,0,1207212,1400000
40.401,3,1,51,0,0,0,0,0,0,0,164928,92000
40.34168,3,1,67,1,1,1,0,0,0,0,156772,127000
40.34847,1,1,52,1,0,0,0,0,1,0,156772,207670
40.485126,2,2,128,1,1,1,0,0,0,1,480497,530000
40.44987,4,2,130,0,1,1,0,0,0,0,597620,330000
40.442116,4,4,309,1,0,1,0,1,1,0,700100,2050000
40.439095,4,2,94,1,0,0,0,0,0,0,603234,388531
40.349983,3,2,103,1,0,0,0,0,1,0,156772,194465
40.384068,1,1,41,1,1,1,0,0,0,0,199225,119000
40.430874,3,2,82,1,0,0,0,0,0,0,238758,277737
40.396282,1,1,49,1,0,0,0,0,0,0,357857,224200
40.399323,3,1,78,1,0,0,0,0,0,0,357857,330030
